07.07.2023 18:17:26.055 [main] INFO   c.e.p.c.m.c.CarsManagerApplication - Starting CarsManagerApplication using Java 20.0.1 with PID 37139 (/home/wladislav/IdeaProjects/java-school/cars-manager/target/classes started by wladislav in /home/wladislav/IdeaProjects/java-school/cars-manager)
07.07.2023 18:17:26.057 [main] INFO   c.e.p.c.m.c.CarsManagerApplication - No active profile set, falling back to 1 default profile: "default"
07.07.2023 18:17:26.946 [main] INFO   o.s.b.w.e.t.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
07.07.2023 18:17:26.953 [main] INFO   o.a.c.h.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
07.07.2023 18:17:26.955 [main] INFO   o.a.c.c.StandardService - Starting service [Tomcat]
07.07.2023 18:17:26.955 [main] INFO   o.a.c.c.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.10]
07.07.2023 18:17:27.019 [main] INFO   o.a.c.c.C.[.[.[/] - Initializing Spring embedded WebApplicationContext
07.07.2023 18:17:27.020 [main] INFO   o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 905 ms
07.07.2023 18:17:27.848 [main] INFO   o.a.c.h.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
07.07.2023 18:17:27.861 [main] INFO   o.s.b.w.e.t.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
07.07.2023 18:17:27.869 [main] INFO   c.e.p.c.m.c.CarsManagerApplication - Started CarsManagerApplication in 2.209 seconds (process running for 2.788)
11.07.2023 19:35:30.789 [main] INFO   c.e.p.c.m.c.CarsManagerApplication - Starting CarsManagerApplication using Java 20.0.1 with PID 99349 (/home/wladislav/IdeaProjects1/school/cars-manager/target/classes started by wladislav in /home/wladislav/IdeaProjects1/school/cars-manager)
11.07.2023 19:35:30.792 [main] INFO   c.e.p.c.m.c.CarsManagerApplication - No active profile set, falling back to 1 default profile: "default"
11.07.2023 19:35:31.563 [main] INFO   o.s.b.w.e.t.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
11.07.2023 19:35:31.570 [main] INFO   o.a.c.h.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
11.07.2023 19:35:31.572 [main] INFO   o.a.c.c.StandardService - Starting service [Tomcat]
11.07.2023 19:35:31.572 [main] INFO   o.a.c.c.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.10]
11.07.2023 19:35:31.634 [main] INFO   o.a.c.c.C.[.[.[/] - Initializing Spring embedded WebApplicationContext
11.07.2023 19:35:31.635 [main] INFO   o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 794 ms
11.07.2023 19:35:32.615 [main] INFO   o.a.c.h.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
11.07.2023 19:35:32.628 [main] INFO   o.s.b.w.e.t.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
11.07.2023 19:35:32.636 [main] INFO   c.e.p.c.m.c.CarsManagerApplication - Started CarsManagerApplication in 2.25 seconds (process running for 3.086)
